"Quantity per Source","Quantity per Source"
"Barcode","Barcode"
"Barcode Image","Barcode Image"
"Barcode Type","Barcode Type"
"Action","Action"
"Generate Barcode","Generate Barcode"
"Print Barcode","Print Barcode"
"Import Barcode","Import Barcode"
"Import Barcode Data","Import Barcode Data"
"Upload File","Upload File"
"Allow File type: .csv","Allow File type: .csv"
"Download Sample File","Download Sample File"
"Back","Back"
"Import","Import"
"Add Outlet","Add Outlet"
"Mass Delete","Mass Delete"
"Outlet Name","Outlet Name"
"Email","Email"
"Source","Source"
"Receipt","Receipt"
"Edit","Edit"
"Delete","Delete"
"Assign Receipt","Assign Receipt"
"Outlet Address Type","Outlet Address Type"
"No I'll use the store address","No I'll use the store address"
"Set Shipping Address","Set Shipping Address"
"First Name","First Name"
"Last Name","Last Name"
"Company","Company"
"Telephone","Telephone"
"Street","Street"
"City","City"
"PostCode","PostCode"
"Country","Country"
"State","State"
"Save Outlet","Save Outlet"
"Save and Continue Edit","Save and Continue Edit"
"Reset","Reset"
"Delete Outlet","Delete Outlet"
"Scope:","Scope:"
"Add Cashier","Add Cashier"
"User Name","User Name"
"Phone","Phone"
"Store View","Store View"
"Assigned Outlet","Assigned Outlet"
"Save Cashier","Save Cashier"
"Username","Username"
"Password","Password"
"Confirm Password","Confirm Password"
"Assign Outlet","Assign Outlet"
"Add Receipt","Add Receipt"
"Title","Title"
"Header Logo","Header Logo"
"Upload","Upload"
"Select from Gallery","Select from Gallery"
"Maximum file size","Maximum file size"
"Receipt Width (printer size)","Receipt Width (printer size)"
"This width has to be set for your printer. For A4, it is 595px, for 80mm, it is 300px and for 58mm, it is 220 px. These size may vary as per the printer brand. Default it will be set for A4 (in Pixels).","This width has to be set for your printer. For A4, it is 595px, for 80mm, it is 300px and for 58mm, it is 220 px. These size may vary as per the printer brand. Default it will be set for A4 (in Pixels)."
"Receipt Barcode Width (printer size)","Receipt Barcode Width (printer size)"
"This width has to be set for your printer. Basically this width must be set respective to receipt width. If you want barcode image to take full width of the receipt then use same receipt width for this. Default it will take full width of receipt (in Pixels).","This width has to be set for your printer. Basically this width must be set respective to receipt width. If you want barcode image to take full width of the receipt then use same receipt width for this. Default it will take full width of receipt (in Pixels)."
"Receipt font size","Receipt font size"
"Default font size on the receipt will be 14px.","Default font size on the receipt will be 14px."
"Header details for receipt","Header details for receipt"
"Footer details for receipt","Footer details for receipt"
"Save Receipt","Save Receipt"
"Export Registers","Export Registers"
"Opened At","Opened At"
"Closed At","Closed At"
"Register Name","Register Name"
"Cashier Name","Cashier Name"
"Clouser Note","Clouser Note"
"Cash Expected","Cash Expected"
"Cash Total","Cash Total"
"Cash Difference","Cash Difference"
"Card Expected","Card Expected"
"Card Total","Card Total"
"Card Difference","Card Difference"
"Custom Payment Expected","Custom Payment Expected"
"Custom Payment Total","Custom Payment Total"
"Custom Payment Difference","Custom Payment Difference"
"Store Name","Store Name"
"Details","Details"
"Export Register Details","Export Register Details"
"Date Added","Date Added"
"Transaction Method","Transaction Method"
"Description","Description"
"Amount","Amount"
"From: ","From: "
"To: ","To: "
"Show By: ","Show By: "
"Cashier: ","Cashier: "
"Outlet: ","Outlet: "
"Order Status: ","Order Status: "
"Show Report","Show Report"
"Date Start","Date Start"
"Date End","Date End"
"No. Orders","No. Orders"
"No. Products","No. Products"
"Tax","Tax"
"Export Sales Report","Export Sales Report"
"Order ID","Order ID"
"Date","Date"
"Store","Store"
"Cashier","Cashier"
"Customer","Customer"
"Payment Method","Payment Method"
"Order Status","Order Status"
"Day","Day"
"Week","Week"
"Month","Month"
"Year","Year"
" Select Cashier "," Select Cashier "
" Select Outlet "," Select Outlet "
" Select Order Status "," Select Order Status "
"Filter By: ","Filter By: "
"Product Name","Product Name"
"Current Stock","Current Stock"
"Quantity Sold","Quantity Sold"
"Export Inventory Report","Export Inventory Report"
"Export Customer Report","Export Customer Report"
"Customer Name","Customer Name"
"Customer Group","Customer Group"
"Tax Report","Tax Report"
"Export Tax Report","Export Tax Report"
"Tax Title","Tax Title"
"Short Description","Short Description"
"Special Price","Special Price"
"Special Price From Date","Special Price From Date"
"Special Price To Date","Special Price To Date"
"Cost","Cost"
"Weight","Weight"
"Manufacturer","Manufacturer"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Color","Color"
"Set Product as New from Date","Set Product as New from Date"
"Set Product as New to Date","Set Product as New to Date"
"New Theme","New Theme"
"Active From","Active From"
"Active To","Active To"
"Layout","Layout"
"Country of Manufacture","Country of Manufacture"
"New Layout","New Layout"
"Minimum Advertised Price","Minimum Advertised Price"
"URL Key","URL Key"
"Tax Class","Tax Class"
"Allow Gift Message","Allow Gift Message"
"Websites","Websites"
"Add Quantity","Add Quantity"
"Quantity:","Quantity:"
"Print Barcodes","Print Barcodes"
"supemaxpos","supemaxpos"
"Supermax Products","Supermax Products"
"Supermax Management","Supermax Management"
"Supermax Cashiers","Supermax Cashiers"
"Edit Cashier","Edit Cashier"
"Save Cashier","Save Cashier"
"Delete Cashier","Delete Cashier"
"Supermax Receipts","Supermax Receipts"
"Edit Receipt","Edit Receipt"
"Save Receipt","Save Receipt"
"Delete Receipt","Delete Receipt"
"Supermax Outlets","Supermax Outlets"
"Edit Outlet","Edit Outlet"
"Save Outlet","Save Outlet"
"Delete Outlet","Delete Outlet"
"Supermax Registers","Supermax Registers"
"Supermax Reports Management","Supermax Reports Management"
"Supermax Sales Reports","Supermax Sales Reports"
"Supermax Inventory Reports","Supermax Inventory Reports"
"Supermax Customer Reports","Supermax Customer Reports"
"Supermax Tax Reports","Supermax Tax Reports"
"Supermax Configuration","Supermax Configuration"
"Supermax Configuration Save","Supermax Configuration Save"
"Barcode Label Sticker Header Logo Width (in px). Please Leave Blank for width:auto","Barcode Label Sticker Header Logo Width (in px). Please Leave Blank for width:auto",
"Barcode Label Sticker Header Logo Height (in px). Please Leave Blank for height:auto","Barcode Label Sticker Header Logo Height (in px). Please Leave Blank for height:auto"
